name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Swadeshi- PVC Insulated Copper Conductor & Sheathed Cables, 1100V, 0.50 sqmm, 4 mm, Single Core Flexible Cable",Swadeshi,Panel & Panel Accessories,Wires & Cables,Single Core Cables,Flexible Cable,,,,,997,Meter,100 Mtrs.,1,"Swadeshi- PVC Insulated Copper Conductor & Sheathed Cables, 1100V, 0.50 sqmm, 4 mm, Single Core Flexible Cable",,,,,,Voltage,UP to 1100V,Conductor Material,PVC Insulated Copper Conductor,Sheathed,Insulated PVC Outer,Nominal Area,0.50 sqmm,Size,4 mm,Current Rating,4 Amp,,,,,,,,,,,1715762834-Product-Screenshot 2024-05-15 141651.png,,,18%,,,,,,,,,1,1-2 Days,
"Swadeshi- PVC Insulated Copper Conductor & Sheathed Cables, 1100V, 16 sqmm, 126/.40 mm, Single Core Flexible Cable",Swadeshi,Panel & Panel Accessories,Wires & Cables,Single Core Cables,Flexible Cable,,,,,25641,Meter,100 Mtrs.,1,"Swadeshi- PVC Insulated Copper Conductor & Sheathed Cables, 1100V, 16 sqmm, 126/.40 mm, Single Core Flexible Cable",,,,,,Voltage,UP to 1100V,Conductor Material,PVC Insulated Copper Conductor,Sheathed,Insulated PVC Outer,Nominal Area,16 sqmm,Size,126/.40 mm,Current Rating,68 Amp,,,,,,,,,,,1715762834-Product-Screenshot 2024-05-15 141651.png,,,18%,,,,,,,,,1,1-2 Days,
"Swadeshi- PVC Insulated Copper Conductor & Sheathed Cables, 1100V, 25 sqmm, 196/.40 mm, Single Core Flexible Cable",Swadeshi,Panel & Panel Accessories,Wires & Cables,Single Core Cables,Flexible Cable,,,,,40591,Meter,100 Mtrs.,1,"Swadeshi- PVC Insulated Copper Conductor & Sheathed Cables, 1100V, 25 sqmm, 196/.40 mm, Single Core Flexible Cable",,,,,,Voltage,UP to 1100V,Conductor Material,PVC Insulated Copper Conductor,Sheathed,Insulated PVC Outer,Nominal Area,25 sqmm,Size,196/.40 mm,Current Rating,86 Amp,,,,,,,,,,,1715762834-Product-Screenshot 2024-05-15 141651.png,,,18%,,,,,,,,,1,1-2 Days,
"Swadeshi- PVC Insulated Copper Conductor & Sheathed Cables, 1100V, 35 sqmm, 276/.40 mm, Single Core Flexible Cable",Swadeshi,Panel & Panel Accessories,Wires & Cables,Single Core Cables,Flexible Cable,,,,,56701,Meter,100 Mtrs.,1,"Swadeshi- PVC Insulated Copper Conductor & Sheathed Cables, 1100V, 35 sqmm, 276/.40 mm, Single Core Flexible Cable",,,,,,Voltage,UP to 1100V,Conductor Material,PVC Insulated Copper Conductor,Sheathed,Insulated PVC Outer,Nominal Area,35 sqmm,Size,276/.40 mm,Current Rating,110 Amp,,,,,,,,,,,1715762834-Product-Screenshot 2024-05-15 141651.png,,,18%,,,,,,,,,1,1-2 Days,
"Swadeshi- PVC Insulated Copper Conductor & Sheathed Cables, 1100V, 50 sqmm, 396/.40 mm, Single Core Flexible Cable",Swadeshi,Panel & Panel Accessories,Wires & Cables,Single Core Cables,Flexible Cable,,,,,82488,Meter,100 Mtrs.,1,"Swadeshi- PVC Insulated Copper Conductor & Sheathed Cables, 1100V, 50 sqmm, 396/.40 mm, Single Core Flexible Cable",,,,,,Voltage,UP to 1100V,Conductor Material,PVC Insulated Copper Conductor,Sheathed,Insulated PVC Outer,Nominal Area,50 sqmm,Size,396/.40 mm,Current Rating,145 Amp,,,,,,,,,,,1715762834-Product-Screenshot 2024-05-15 141651.png,,,18%,,,,,,,,,1,1-2 Days,
"Swadeshi- PVC Insulated Copper Conductor & Sheathed Cables, 1100V, 70 sqmm, 354/.50 mm, Single Core Flexible Cable",Swadeshi,Panel & Panel Accessories,Wires & Cables,Single Core Cables,Flexible Cable,,,,,115628,Meter,100 Mtrs.,1,"Swadeshi- PVC Insulated Copper Conductor & Sheathed Cables, 1100V, 70 sqmm, 354/.50 mm, Single Core Flexible Cable",,,,,,Voltage,UP to 1100V,Conductor Material,PVC Insulated Copper Conductor,Sheathed,Insulated PVC Outer,Nominal Area,70 sqmm,Size,354/.50 mm,Current Rating,200 Amp,,,,,,,,,,,1715762834-Product-Screenshot 2024-05-15 141651.png,,,18%,,,,,,,,,1,1-2 Days,
"Swadeshi- PVC Insulated Copper Conductor & Sheathed Cables, 1100V, 95 sqmm, 484/.50 mm, Single Core Flexible Cable",Swadeshi,Panel & Panel Accessories,Wires & Cables,Single Core Cables,Flexible Cable,,,,,152300,Meter,100 Mtrs.,1,"Swadeshi- PVC Insulated Copper Conductor & Sheathed Cables, 1100V, 95 sqmm, 484/.50 mm, Single Core Flexible Cable",,,,,,Voltage,UP to 1100V,Conductor Material,PVC Insulated Copper Conductor,Sheathed,Insulated PVC Outer,Nominal Area,95 sqmm,Size,484/.50 mm,Current Rating,235 Amp,,,,,,,,,,,1715762834-Product-Screenshot 2024-05-15 141651.png,,,18%,,,,,,,,,1,1-2 Days,
"Swadeshi- PVC Insulated Copper Conductor & Sheathed Cables, 1100V, 120 sqmm, 608/.50 mm, Single Core Flexible Cable",Swadeshi,Panel & Panel Accessories,Wires & Cables,Single Core Cables,Flexible Cable,,,,,194778,Meter,100 Mtrs.,1,"Swadeshi- PVC Insulated Copper Conductor & Sheathed Cables, 1100V, 120 sqmm, 608/.50 mm, Single Core Flexible Cable",,,,,,Voltage,UP to 1100V,Conductor Material,PVC Insulated Copper Conductor,Sheathed,Insulated PVC Outer,Nominal Area,120 sqmm,Size,608/.50 mm,Current Rating,270 Amp,,,,,,,,,,,1715762834-Product-Screenshot 2024-05-15 141651.png,,,18%,,,,,,,,,1,1-2 Days,
"Swadeshi- PVC Insulated Copper Conductor & Sheathed Cables, 1100V, 150 sqmm, 750/.50 mm, Single Core Flexible Cable",Swadeshi,Panel & Panel Accessories,Wires & Cables,Single Core Cables,Flexible Cable,,,,,244029,Meter,100 Mtrs.,1,"Swadeshi- PVC Insulated Copper Conductor & Sheathed Cables, 1100V, 150 sqmm, 750/.50 mm, Single Core Flexible Cable",,,,,,Voltage,UP to 1100V,Conductor Material,PVC Insulated Copper Conductor,Sheathed,Insulated PVC Outer,Nominal Area,150 sqmm,Size,750/.50 mm,Current Rating,310 Amp,,,,,,,,,,,1715762834-Product-Screenshot 2024-05-15 141651.png,,,18%,,,,,,,,,1,1-2 Days,
"Swadeshi- PVC Insulated Copper Conductor & Sheathed Cables, 1100V, 185 sqmm, 925/.50 mm, Single Core Flexible Cable",Swadeshi,Panel & Panel Accessories,Wires & Cables,Single Core Cables,Flexible Cable,,,,,295795,Meter,100 Mtrs.,1,"Swadeshi- PVC Insulated Copper Conductor & Sheathed Cables, 1100V, 185 sqmm, 925/.50 mm, Single Core Flexible Cable",,,,,,Voltage,UP to 1100V,Conductor Material,PVC Insulated Copper Conductor,Sheathed,Insulated PVC Outer,Nominal Area,185 sqmm,Size,925/.50 mm,Current Rating,360 Amp,,,,,,,,,,,1715762834-Product-Screenshot 2024-05-15 141651.png,,,18%,,,,,,,,,1,1-2 Days,
"Swadeshi- PVC Insulated Copper Conductor & Sheathed Cables, 1100V, 240 sqmm, 1210/.50 mm, Single Core Flexible Cable",Swadeshi,Panel & Panel Accessories,Wires & Cables,Single Core Cables,Flexible Cable,,,,,390427,Meter,100 Mtrs.,1,"Swadeshi- PVC Insulated Copper Conductor & Sheathed Cables, 1100V, 240 sqmm, 1210/.50 mm, Single Core Flexible Cable",,,,,,Voltage,UP to 1100V,Conductor Material,PVC Insulated Copper Conductor,Sheathed,Insulated PVC Outer,Nominal Area,240 sqmm,Size,1210/.50 mm,Current Rating,425 Amp,,,,,,,,,,,1715762834-Product-Screenshot 2024-05-15 141651.png,,,18%,,,,,,,,,1,1-2 Days,
"Swadeshi- PVC Insulated Copper Conductor & Sheathed Cables, 1100V, 300 sqmm, 1527/.50 mm, Single Core Flexible Cable",Swadeshi,Panel & Panel Accessories,Wires & Cables,Single Core Cables,Flexible Cable,,,,,486703,Meter,100 Mtrs.,1,"Swadeshi- PVC Insulated Copper Conductor & Sheathed Cables, 1100V, 300 sqmm, 1527/.50 mm, Single Core Flexible Cable",,,,,,Voltage,UP to 1100V,Conductor Material,PVC Insulated Copper Conductor,Sheathed,Insulated PVC Outer,Nominal Area,300 sqmm,Size,1527/.50 mm,Current Rating,490 Amp,,,,,,,,,,,1715762834-Product-Screenshot 2024-05-15 141651.png,,,18%,,,,,,,,,1,1-2 Days,
"Swadeshi- PVC Insulated Copper Conductor & Sheathed Cables, 1100V, 400 sqmm, 2036/.50 mm, Single Core Flexible Cable",Swadeshi,Panel & Panel Accessories,Wires & Cables,Single Core Cables,Flexible Cable,,,,,644228,Meter,100 Mtrs.,1,"Swadeshi- PVC Insulated Copper Conductor & Sheathed Cables, 1100V, 400 sqmm, 2036/.50 mm, Single Core Flexible Cable",,,,,,Voltage,UP to 1100V,Conductor Material,PVC Insulated Copper Conductor,Sheathed,Insulated PVC Outer,Nominal Area,400 sqmm,Size,2036/.50 mm,Current Rating,590 Amp,,,,,,,,,,,1715762834-Product-Screenshot 2024-05-15 141651.png,,,18%,,,,,,,,,1,1-2 Days,
