c1_category,c2_category,leaf_category
Cables,Un Armoured Cable,RS-485 Modbus Armoured FRLS PVC Cable 24 AWG
Cables,Un Armoured Cable,RS-485 Modbus Armoured FRLS PVC Cable 22 AWG
Cables,Un Armoured Cable,RS-485 Modbus Armoured FRLS PVC Cable 20 AWG
Cables,Un Armoured Cable,RS-485 Modbus Armoured FRLS PVC Cable 18 AWG
Cables,Un Armoured Cable,RS-485 Modbus Armoured FRLS PVC Cable 17 AWG
Cables,Un Armoured Cable,RS-485 Modbus Armoured FRLS PVC Cable 24 AWG
Cables,Un Armoured Cable,RS-485 Modbus Armoured FRLS PVC Cable 22 AWG
Cables,Un Armoured Cable,RS-485 Modbus Armoured FRLS PVC Cable 20 AWG
Cables,Un Armoured Cable,RS-485 Modbus Armoured FRLS PVC Cable 18 AWG
Cables,Un Armoured Cable,RS-485 Modbus Armoured FRLS PVC Cable 17 AWG
